id,title,content,brief,target,type
80101,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80201,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80002,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80003,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80004,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80005,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80006,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80102,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80103,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80104,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80105,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80106,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80202,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80203,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80204,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80205,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
80206,EGL struck,"    EGL Monster eight serpent, addicted month Tengu, nine fox, invasion of the Central Plains. Many soldiers were monster possessed of all ethnic groups, provoking bloody world. Only remove the monster to protect world peace.","    Monster kill possessed by the wilderness, mountains soldiers will be possible to obtain a variety of Wicked organs. Tengu claws, soul nine, eight Qi fangs respectively at 5, 7, 9 above to obtain a certain probability wild. Spirit Mountain blessed each mission there is a certain probability of falling objects.",EGL struck,6
90047,Accelerate chest,    Official activities to achieve under the doctor can receive a gift accelerate chest.,    Official activities to achieve under the doctor can receive a gift accelerate chest.,Under doctor chest,0
90048,Accelerate chest,    Official activities to reach the doctor to receive a gift accelerate chest.,    Official activities to reach the doctor to receive a gift accelerate chest.,Doctor on chest,0
90049,Accelerate chest,    Guests can reach the Division official activities receive a gift accelerate chest.,    Guests can reach the Division official activities receive a gift accelerate chest.,SI Shi chest,0
90050,Accelerate chest,    Stuart reached the official gift you can receive activity accelerated a chest.,    Stuart reached the official gift you can receive activity accelerated a chest.,Stuart chest,0
20020,Adequate forage,"    The food is an important livelihood supplies. Food, labor pay of soldiers are inseparable from food. Improve farmland can increase the level of food production, for faster development of the town, you need to build enough farmland.","    New and upgraded [farmland] the grain output reached 15,000 per hour.","Production 15,000",1
20030,Lush forests,"    Construction of buildings, weapons production requires large amounts of timber. Especially in pre-production, we need to consume a large amount of timber, enough to build a sawmill can ensure pre-production is not affected.","    New and upgraded the wood] [forest farm production reached 15,000 per hour.","Production 15,000",1
20040,Just good solid rock,"    Stone used to build the main building, the construction of the wall. Construction quarry to provide adequate supplies to the city of stone.","    New and upgraded [the stone quarry] production reached 15,000 per hour.","Production 15,000",1
20050,Armaments worry,"    Production buildings are required to use copper, soldier weapons, armor also need to consume a large amount of copper. Built copper mine in order to obtain a copper mine construction, weapons use.","    New and upgraded] [copper mine copper production reached 15,000 per hour.","Production 15,000",1
50129,Zhuo page resources,"    Just a day on the line during the event, you can receive a variety of resources and gift certificates.","    Just a day on the line during the event, you can receive a variety of resources and gift certificates.",Zhuo network task page,7
59140,Bi Xiao beauty,"    Three Gods Xiandao is the legendary Three Sisters - sky, Joan Xiao, Xiao Bi cultivation of the land. Sky, Joan Xiaoyun swim out, but for the Bi Xiao fairy EGL Warcraft attacks, brutally seal. Fairy lives at stake, the need of high-strength magic warriors to come forward to the rescue.",    Eliminate a certain number of EGL Warcraft to rescue the beautiful Bi Xiao.,Bi Xiao,2
59141,A Touch of Zen Joan night,"    Joan night fairy with bold temperament famous Gods earth. To verify its extraordinary strength, often blessed with mountains and from various people than fight, fight for magic weapon.","    To see Joan Xiao fairy, it is estimated to match up, prepare some magic weapon.",Joan night,2
59142,Joan Xiao worship service,"    After obtaining Shouyu Joan Xiao, Xiao fairy to meet with Joan, and in person for enriching their help. Joan night fairy made it out of the mountains For help, need to Faerie Ock as a keepsake.","    Faerie Ock be blessed in the mountains in the fall, it can also be purchased at the mall.",Joan Xiao earrings,2
56033,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
59143,Goddess sky,"    Sky fairy is the first of three Xiandao fairies, magic reportedly speaks, the more treasures Jinjiao scissors, Kim Doo-Hun Yuan to help. However, the sky fairy dragon head, not the tail, still swim in Hefang Yun, no one knows.","    Yu Jian sky, to be a Bi Xiao, Xiao Qiong two keepsake, set up the altar worship and piety.",The sky,2
59144,Fairy entrusted,"    Sky fairy Vision, being informed of the ancient Battle of Magic, with the world of strength will require a lot of help to display their supreme Yi Bao Xuan Gong.","    Heaven Sarah can be obtained by plundering wild, can also be purchased at the mall; Faerie Ock, Daisy attack by emerald mountains blessed available, can also be purchased at the mall.",Joan Xiao avatar,2
59145,Kim Doo-Hun Yuan,"   To retrieve the sky fairy left behind when Kim Doo-Hun Yuan above mythical ancient war. Although it is regrettable that mythical ancient war battered, Kim Doo-Hun Yuan will still tightly sealed in the depths of purgatory.","    10 to 12 layer against mountains blessed chance to drop piercing character, may be purchased in the mall.",Kim Doo-Hun Yuan (wrong),2
56034,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56035,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56036,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56037,Godsend rice,"    Gods earth, emerging copper rich treasures of heaven wishing distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56038,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56039,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56040,Godsend rice,"    Gods earth, emerging rich food, heaven wishing the distribution of dysfunction common use.","    Just a day on the line, you can receive with their own office, farmland grade appropriate food resources.",food,6
56041,Rose teaser,"    Heaven on earth heaven will be levied roses, lovers pray for the world, to share a happy life.",    A number of heaven Rose convertible obtain the corresponding reward,Rose 1,6
56042,Rose Xian Yuan,"    Heaven on earth heaven will be levied roses, lovers pray for the world, to share a happy life.",    A number of heaven Rose convertible obtain the corresponding reward,Rose 5,6
56043,Rose rocks,"    Heaven on earth heaven will be levied roses, lovers pray for the world, to share a happy life.",    A number of heaven Rose convertible obtain the corresponding reward,Rose 10,6
56044,Rose Guiyuan,"    Heaven on earth heaven will be levied roses, lovers pray for the world, to share a happy life.",    A number of heaven Rose convertible obtain the corresponding reward,Rose 15,6
56045,Trinity wonderful,"    Heaven on earth heaven will be levied roses, lovers pray for the world, to share a happy life.",    A number of heaven Rose convertible obtain the corresponding reward,Rose 50,6
56046,Heaven Xuanming,"    Heaven on earth heaven will be levied roses, lovers pray for the world, to share a happy life.",    A number of heaven Rose convertible obtain the corresponding reward,Rose 1000,6
56047,Thanksgiving gift,    You can use 10 turkeys and five Thanksgiving turkey Thanksgiving celebration exchange boxes and 100 gift certificate during the Thanksgiving holiday.,   Thanksgiving holiday tasks can use 10 turkeys and five Thanksgiving turkey Thanksgiving celebration exchange boxes and 100 gift certificates.,Turkey,6
56050,Exchange demon car,    Make available an Exchange 2000 Yaozu soldiers cents chariot soldiers.,   Available cents soldiers make Yaozu exchange chariot soldiers.,Sin soldiers make,6
56049,Convertible car cents,    Make available an immortal soldier Exchange 2000 fairy family chariot soldiers.,   Available cents soldiers make exchange fairy family chariot soldiers.,Sin soldiers make,6
56048,Exchange fairy bow,    Make available an immortal soldier Exchange 2000 fairy family Archers.,   Available cents soldiers make exchange fairy family Archers.,Sin soldiers make,6
99000,Lotus God,"    Rebels week camp in effect, with lotus incarnation, block those Pimi. Juventa generation artifact ""Hot Wheels"" will be born. Rebels of the division Taiyizhenren come to inform this round to be the ""Faerie Ock"", ""Daisy Jade"" for the lead, before Shoufu.
Hot Wheels magic effect: the battle can use the other side of the current gods can not be substituted, until its forces to zero.","    Faerie Ock, Daisy Jade is the rare thing. Who have the opportunity to be blessed in the depths of the mountains to find, can also be purchased at the mall.","Faerie Ock, Daisy Jade",2
80301,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80401,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80501,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80601,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80701,Gossip,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. Where Heaven ordered the whole set Fuxi congenital gossip are available to both heaven magic one.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi residue can be obtained [heaven] Royal Box.",Heaven Royal Box,6
80801,King Wen Qian,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Qian, break phase diagram will be entitled to a reward of King Wen Wen Wang dry [box].",Qian,6
80901,King Wen Tianxiang,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Tianxiang, crack Gua phase will be entitled to a reward of King Wen [consistent] for opening day King Wen [dry] box.",TX,6
81001,Wen Wang Kun,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder outside the wild have a chance to get Wen Wang Kun, crack Gua phase will be entitled to a reward of King Wen Wen Wang Kun [box].",Kun,6
81101,King Wen relative,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder outside the wild have a chance to get [to] conform with the King Wen, crack Gua phase will be entitled to a reward for turning King Wen Wen Wang Kun [box].",Relative,6
81201,King Wen Zhengua,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder the wild have a chance to get outside the city of King Wen Zhengua, crack Gua phase will be entitled to a reward of King Wen Wen Wang Zhen [box].",Zhengua,6
81301,King Wen Lei phase,"    Heaven because of improper storage, causing heaven treasure gossip widely scattered in the world, even won the King Wen, King Wen deduce the phase diagram. Wen Wei Wang Yuli in the world, set world treasure chest made several runes, and reward people break phase diagram of.","    Plunder outside the city have a chance to get wild with Ray King Wen, King Wen crack Gua phase will be entitled to a reward for turning [Ray] matches [box] Wen Wang Zhen.",Ray phase,6
80302,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80303,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80304,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80305,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80306,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80307,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80308,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80309,Extension army attack razed,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, enough troops, Bingjia but hardly enough to equip all soldiers, so posting an extraordinary collection in the world princes Bingjia to equip ordinary soldiers.","    During the mission is on, players can use a [bronze] exchange equipment boxes equipped with a [ordinary] box.",Bronze equipment boxes,6
80402,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80403,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80404,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80405,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80406,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80407,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80408,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80409,Yin led troops raised,"    North Korea Tingzheng Bing crusade against the land of barbarians, accommodating China, officers have gathered enough troops, but since senior Bingjia but far from sufficient to equip all the generals, princes in the world so posting will collect school Bingjia.","    During the mission is on, players can use a [box] siderite equipment exchange a [primary] box heaven.",Siderite equipment boxes,6
80502,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80503,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80504,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80505,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80506,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80507,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80508,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80509,Fuxi in the hexagram,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.",Plunder the wild have a chance to get outside the city residue Fuxi hexagram Fuxi in the hexagram contribution you can get [organs] treasures,Authorities treasures,6
80602,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80603,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80604,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
80605,Fuxi outside Gua,"Wang Fang Fuxi sit on top of the altar, listen to eight winds of gas, is painting gossip. Since Fuxi congenital gossip to be regarded Once upon a treasure trove of treasures in heaven. But because of improper storage, widely scattered in the world. One tribute residue Gua to get the Emperor raised him.","Plunder the wild have a chance to get outside the city Fuxi residue Gua, Gua contribution Fuxi outside to get drawings [organ]",Authorities illustration,6
